dow,lake_name,between,degree
56074900,crystal,1685,793
69064200,elliot,2789,794
44008000,mccraney,1092,795
16036000,caribou,1101,796
30013800,south stanchfield,4014,797
3065900,sand,1013,798
31053400,shoal,539,799
69014300,wolf,2782,800
21016000,rachel,779,801
16004100,pine,163,802
3025800,acorn,1126,802
73014700,north brown's,1350,804
81009500,elysian,322,805
30000900,typo,5917,806
11023200,hattie,3619,807
18014000,black bear,3289,808
37004600,lac qui parle,223,809
31000300,south sturgeon,4881,810
77001900,mary,5313,811
73018300,st. anna,2590,812
31057100,loon,2546,813
43003400,silver,3325,814
26028200,lightning,1767,815
10005200,reitz,2537,816
43007300,hook,6000,817
43004000,swan,772,818
18018500,mary,1567,819
56076000,lizzie,46,820
21016200,freeborn,2313,821
86014000,silver,742,822
47006200,greenleaf,3499,823
38073500,sand,1349,824
56053200,leek (trowbridge),968,825
82005900,goose,2699,826
21008100,winona,979,827
66002900,fox,5794,827
69005000,big,657,829
21026400,stowe,4419,830
60020200,sarah,1110,831
69065500,pleasant,2362,832
3016600,hungry,1713,833
27012700,french,640,834
56024000,blanche,806,835
69011400,cadotte,1389,836
11032000,pillager,1440,837
56014000,portage,3707,838
13003300,little,3868,838
38070100,gabbro,1655,840
38052900,snowbank,160,841
86027100,moose,6545,842
3021300,waboose,719,843
82014000,oneka,1889,844
77003200,lady,7292,845
21009400,louise,2806,846
69011700,johnson,750,847
77000900,trace,1498,848
16009600,elbow,464,849
69064600,murphy,1287,850
86008800,mink,3610,851
29009800,waboose,937,852
18041600,lizzie,8375,853
2001400,amelia,1076,854
86026400,brooks,1480,855
38068600,north mcdougal,631,856
27006200,anderson,156,857
29004500,tenth crow wing,826,858
9006800,cole,3180,859
29009200,fifth crow wing,2199,860
48000900,onamia,285,861
43001200,winsted,7455,862
69006600,little long,668,863
76003300,monson,5509,864
73022600,cedar,5522,865
26002000,thompson,1321,866
27007000,mitchell,5832,867
18021300,anna,797,868
69062700,nichols,2016,869
31025900,balsam,2901,870
38055700,grouse,1531,871
11019900,hay,6140,871
11025800,long,1652,873
16002700,mcfarland,267,874
56068400,fish,1956,875
13001900,spider,3783,876
18022500,adney,2971,877
79000500,u.s. lock & dam #4 pool,74,878
34011900,elkhorn,6017,879
27009800,bass,798,880
69058700,oriniack,492,881
47008800,richardson,2283,882
29024900,hinds,1738,883
86004100,dean,2125,884
3018900,little toad,4335,884
56047500,pickerel,2883,886
29014900,ojibway,6187,887
31087600,rice,533,888
18017000,upper dean,4461,889
31084500,clear,3433,890
18034200,lougee,1925,891
56044900,pleasant,3628,892
53002800,okabena,268,893
9001000,hay,1573,894
7005400,ballantyne,1789,895
7005300,duck,999,896
31073300,little siseebakwet,1310,897
31041000,trout,415,898
34007200,lillian,3839,899
18038700,whipple,1109,900
44004500,snider,3650,901
11035000,bowen,2983,902
31034100,little split hand,3572,903
65000200,preston,4483,903
49008100,pine,8363,905
43008500,otter,738,906
15006000,walker brook,2808,907
77006700,pine island,5381,908
86018800,emma,5055,909
73007000,watab,1189,910
27014900,spurzem,2208,911
33000100,eleven,4981,912
18002800,smith,1108,913
18035400,pig,1730,914
21014000,pocket,1144,915
29024100,frontenac,2453,916
11050200,crystal,6006,916
38081300,fourtown,641,918
47008200,dunns,5481,919
10008900,goose,8341,920
31019800,little cowhorn,2579,921
73015000,eden,617,922
14010000,silver,1559,923
73013600,pine,4269,924
70005000,mcmahon,2493,925
31010800,snowball,2498,926
49013300,crookneck,6551,927
73023300,kings,4506,928
31057500,little bass,2413,929
69080600,moose,1119,930
31019300,crooked,4382,931
18022000,smokey hollow,1412,932
18023900,silver,1808,933
19008300,black dog,406,934
29022700,evergreen,2106,935
73002300,beaver,4472,936
69093200,perch,4229,937
61010100,nelson,923,938
56082400,dayton hollow reservoir,639,939
77002200,mons,3290,940
16035600,gunflint,784,941
3000700,blueberry,2254,942
86017800,dog,4089,943
38003300,ninemile,971,944
77012000,charlotte,4450,945
46001000,east chain,4128,946
31019000,north twin,1985,947
31090400,dunbar,2675,948
38040600,lax,1819,949
69086400,ash,1043,950
86004600,crawford,3063,951
56043700,stalker,7352,952
34003200,carrie,8327,953
31053000,busties,1098,954
82016800,mud,1376,955
56091500,prairie,3446,956
69043400,wynne/sabin,1015,957
11012100,mabel,3837,958
18012600,mahnomen,3500,959
69004100,bassett,714,960
15004000,bagley,1190,961
86018300,fish,2837,962
41004300,benton,293,963
18019500,dolney,5029,964
56029800,deer,2366,965
56037800,east lost,2278,966
30009600,lory,5972,967
38070300,little gabbro,1935,968
29018600,emma,1538,969
86023000,somers,1353,970
11047400,bass,1123,971
10000700,lucy,613,972
38002400,crooked,324,973
9003400,bear,3985,974
56037900,north turtle,4546,975
13001300,kroon,4788,976
62001000,keller,1556,977
31002200,little island,6234,978
33000900,pomroy,6013,979
31093400,decker,1433,980
46013300,big twin,5436,981
26029400,ash,1711,982
27013900,forest,697,983
73024100,black oak,4357,984
21021300,devils,3642,985
56021200,boedigheimer,3542,986
27013200,rice,694,987
73019900,sand,4271,987
3020900,carman,4605,989
31061000,little moose,3692,990
46003100,hall,1875,991
18039900,nisswa,2222,992
75004600,charlotte,1061,993
56058900,mineral,1849,994
7007700,wita,1967,995
34011600,henderson,2078,996
47003200,spring,3423,997
41011000,hendricks,1213,998
62005700,josephine,4091,999
56038200,twin,5934,1000
69068400,mukooda,478,1001
